#mpa_vJan26_CHOCOPhlAnSGB_202605
#metaphlan --read_min_len 30 --input_type fastq L224/ERR4670283_1.trimmed.fastq.gz,L224/ERR4670283_2.trimmed.fastq.gz --mapout L224/L224_metaphlan.Jan26.bowtie2.bz2 --nproc 12 --index mpa_vJan26_CHOCOPhlAnSGB_202605 --db_dir metaphlan/Jan26/ --output_file L224/L224.metaphlan.Jan26.tsv --samout L224/L224_metaphlan.Jan26.sam.bz2 --min_mapq_val 30
#906739356 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	2|1239||	0.001905	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.001856	
k__Bacteria|p__Firmicutes|c__CFGB81848|o__OFGB81848	2|1239||	0.001853	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.001829	
k__Bacteria|p__Bacteroidota|c__CFGB511|o__OFGB511	2|976||	0.001767	
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	2|1239||	0.00166	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.001598	
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.001569	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.001428	
k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838	2|1239||	0.001408	
k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405	2|976||	0.001376	
k__Bacteria|p__Firmicutes|c__CFGB3026|o__OFGB3026	2|1239||	0.001375	
k__Bacteria|p__Bacteroidota|c__CFGB77217|o__OFGB77217	2|976||	0.001322	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.001307	
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312	2|1239||	0.001241	
k__Bacteria|p__Firmicutes|c__CFGB2867|o__OFGB2867	2|1239||	0.001228	
k__Bacteria|p__Bacteroidota|c__CFGB11391|o__OFGB11391	2|976||	0.001172	
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021	2|1239||	0.001097	
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	0.001018	
k__Bacteria|p__Firmicutes|c__CFGB84649|o__OFGB84649	2|1239||	0.001018	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.000993	
k__Bacteria|p__Armatimonadota|c__CFGB58712|o__OFGB58712	2|67819||	0.000989	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.000976	
k__Bacteria|p__Bacteroidota|c__CFGB77894|o__OFGB77894	2|976||	0.000802	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales	2|201174|1760|85012	0.000749	
k__Bacteria|p__Actinomycetota|c__CFGB11649|o__OFGB11649	2|201174||	0.000734	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.000734	
k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318	2|1239||	0.000732	
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	2|1239||	0.000732	
k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.000682	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Lysobacterales	2|1224|1236|135614	0.000608	
k__Bacteria|p__Actinomycetota|c__CFGB10097|o__OFGB10097	2|201174||	0.000549	
k__Bacteria|p__Firmicutes|c__CFGB78465|o__OFGB78465	2|1239||	0.000549	
k__Bacteria|p__Firmicutes|c__CFGB79315|o__OFGB79315	2|1239||	0.000545	
k__Bacteria|p__Firmicutes|c__CFGB1298|o__OFGB1298	2|1239||	0.000502	
k__Bacteria|p__Bacteroidota|c__CFGB7536|o__OFGB7536	2|976||	0.000498	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.000496	
k__Bacteria|p__Chloroflexota|c__CFGB94700|o__OFGB94700	2|200795||	0.00048	
k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837	2|1239||	0.000461	
k__Bacteria|p__Firmicutes|c__CFGB49311|o__OFGB49311	2|1239||	0.000455	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.000431	
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	2|203682|203683|2691356	0.000412	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.000365	
k__Bacteria|p__Firmicutes|c__CFGB1772|o__OFGB1772	2|1239||	0.000364	
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales	2|142182|219685|219686	0.000351	
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140	2|1239||	0.000319	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.000301	
k__Bacteria|p__Firmicutes|c__CFGB84065|o__OFGB84065	2|1239||	0.000283	
k__Bacteria|p__Firmicutes|c__CFGB4788|o__OFGB4788	2|1239||	0.000282	
k__Bacteria|p__Campylobacterota|c__CFGB8430|o__OFGB8430	2|29547||	0.000273	
k__Bacteria|p__Firmicutes|c__CFGB78699|o__OFGB78699	2|1239||	0.000253	
k__Bacteria|p__Pseudomonadota|c__CFGB8587|o__OFGB8587	2|1224||	0.000252	
k__Bacteria|p__Firmicutes|c__CFGB78560|o__OFGB78560	2|1239||	0.000246	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.000201	
k__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Terriglobales	2|57723|204432|204433	0.000192	
k__Bacteria|p__Bacteroidota|c__CFGB9414|o__OFGB9414	2|976||	0.000188	
k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629	2|976||	0.000185	
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.000181	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	2|201174|1760|2037	0.000178	
